identifier,fullStatement,humanCodingScheme,listEnumeration,notes,educationLevel,CFItemType
5ebf9bbe-d7cc-11e8-824f-0242ac160002,Operations & Algebraic Thinking,,2,,KG,Domain
5ebedb09-d7cc-11e8-824f-0242ac160002,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",K.OA.A,1,,KG,Cluster
5ebf6d5c-d7cc-11e8-824f-0242ac160002,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",K.OA.A.1,1,"Drawings need not show details, but should show the mathematics in the problem (This applies wherever drawings are mentioned in the Standards.)",KG,Standard
5ec09faa-d7cc-11e8-824f-0242ac160002,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",K.OA.A.2,2,,KG,Standard
5ec16982-d7cc-11e8-824f-0242ac160002,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",K.OA.A.3,3,,KG,Standard
5ec203ef-d7cc-11e8-824f-0242ac160002,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",K.OA.A.4,4,,KG,Standard
5ec29e80-d7cc-11e8-824f-0242ac160002,Fluently add and subtract within 5.,K.OA.A.5,5,,KG,Standard
5ec0a6de-d7cc-11e8-824f-0242ac160002,Number & Operations in Base Ten,,3,,KG,Domain
5ebed8ae-d7cc-11e8-824f-0242ac160002,Work with numbers 11—19 to gain foundations for place value.,K.NBT.A,1,,KG,Cluster
5ebf6ae1-d7cc-11e8-824f-0242ac160002,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",K.NBT.A.1,1,,KG,Standard
5ec170c6-d7cc-11e8-824f-0242ac160002,Measurement & Data,,4,,KG,Domain
5ebed3ed-d7cc-11e8-824f-0242ac160002,Describe and compare measurable attributes.,K.MD.A,1,,KG,Cluster
5ebf6871-d7cc-11e8-824f-0242ac160002,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",K.MD.A.1,1,,KG,Standard
5ec09d4d-d7cc-11e8-824f-0242ac160002,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. <em>For example, directly compare the heights of two children and describe one child as taller/shorter.</em>",K.MD.A.2,2,,KG,Standard
5ebed6cd-d7cc-11e8-824f-0242ac160002,Classify objects and count the number of objects in each category.,K.MD.B,1,,KG,Cluster
5ec16724-d7cc-11e8-824f-0242ac160002,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.,K.MD.B.3,3,Limit category counts to be less than or equal to 10.,KG,Standard
5ec20b64-d7cc-11e8-824f-0242ac160002,Geometry,,5,,KG,Domain
5ebed044-d7cc-11e8-824f-0242ac160002,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",K.G.A,1,,KG,Cluster
5ebf6603-d7cc-11e8-824f-0242ac160002,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",K.G.A.1,1,,KG,Standard
5ec09af0-d7cc-11e8-824f-0242ac160002,Correctly name shapes regardless of their orientations or overall size.,K.G.A.2,2,,KG,Standard
5ec164c7-d7cc-11e8-824f-0242ac160002,"Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"").",K.G.A.3,3,,KG,Standard
5ebed21d-d7cc-11e8-824f-0242ac160002,"Analyze, compare, create, and compose shapes.",K.G.B,1,,KG,Cluster
5ec20182-d7cc-11e8-824f-0242ac160002,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length).",K.G.B.4,4,,KG,Standard
5ec29b69-d7cc-11e8-824f-0242ac160002,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",K.G.B.5,5,,KG,Standard
5ec3069b-d7cc-11e8-824f-0242ac160002,"Compose simple shapes to form larger shapes. <em>For example, ""Can you join these two triangles with full sides touching to make a rectangle?""</em>",K.G.B.6,6,,KG,Standard
5ebf9f41-d7cc-11e8-824f-0242ac160002,Grade 1,,2,,1,Grade Level
5ebe64c8-d7cc-11e8-824f-0242ac160002,Operations & Algebraic Thinking,,1,,1,Domain
5ebe7d05-d7cc-11e8-824f-0242ac160002,Represent and solve problems involving addition and subtraction.,1.OA.A,1,,1,Cluster
5ebee28a-d7cc-11e8-824f-0242ac160002,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",1.OA.A.1,1,,1,Standard
5ebffc7b-d7cc-11e8-824f-0242ac160002,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",1.OA.A.2,2,,1,Standard
5ebfbd3a-d7cc-11e8-824f-0242ac160002,Understand and apply properties of operations and the relationship between addition and subtraction.,1.OA.B,2,,1,Cluster
5ec0e451-d7cc-11e8-824f-0242ac160002,Apply properties of operations as strategies to add and subtract.,1.OA.B.3,3,Students need not use formal terms for these properties.,1,Standard
5ec19337-d7cc-11e8-824f-0242ac160002,"Understand subtraction as an unknown-addend problem. <em>For example, subtract 10 - 8 by finding the number that makes 10 when added to 8.</em>",1.OA.B.4,4,,1,Standard
5ec0c1de-d7cc-11e8-824f-0242ac160002,Add and subtract within 20.,1.OA.C,3,,1,Cluster
5ec222c1-d7cc-11e8-824f-0242ac160002,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",1.OA.C.5,5,,1,Standard
5ec2a9eb-d7cc-11e8-824f-0242ac160002,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",1.OA.C.6,6,,1,Standard
5ec18916-d7cc-11e8-824f-0242ac160002,Work with addition and subtraction equations.,1.OA.D,4,,1,Cluster
5ec31051-d7cc-11e8-824f-0242ac160002,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. <em>For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 - 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.</em>",1.OA.D.7,7,,1,Standard
5ec36f42-d7cc-11e8-824f-0242ac160002,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. <em>For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = _ - 3, 6 + 6 = _.</em>",1.OA.D.8,8,,1,Standard
5ebfa2f6-d7cc-11e8-824f-0242ac160002,Number & Operations in Base Ten,,2,,1,Domain
5ebe7900-d7cc-11e8-824f-0242ac160002,Extend the counting sequence.,1.NBT.A,1,,1,Cluster
5ebee0b1-d7cc-11e8-824f-0242ac160002,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",1.NBT.A.1,1,,1,Standard
5ebfbaa3-d7cc-11e8-824f-0242ac160002,Understand place value.,1.NBT.B,2,,1,Cluster
5ebff90c-d7cc-11e8-824f-0242ac160002,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,1.NBT.B.2,2,,1,Standard
5ec3d194-d7cc-11e8-824f-0242ac160002,"10 can be thought of as a bundle of ten ones — called a ""ten.""",1.NBT.B.2.a,a.,,1,Component
5ec433f8-d7cc-11e8-824f-0242ac160002,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",1.NBT.B.2.b,b.,,1,Component
5ec4a041-d7cc-11e8-824f-0242ac160002,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",1.NBT.B.2.c,c.,,1,Component
5ec0e23b-d7cc-11e8-824f-0242ac160002,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.",1.NBT.B.3,3,,1,Standard
5ebe7b05-d7cc-11e8-824f-0242ac160002,Use place value understanding and properties of operations to add and subtract.,1.NBT.C,3,,1,Cluster
5ec190ac-d7cc-11e8-824f-0242ac160002,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",1.NBT.C.4,4,,1,Standard
5ec2203c-d7cc-11e8-824f-0242ac160002,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",1.NBT.C.5,5,,1,Standard
5ec2a6e4-d7cc-11e8-824f-0242ac160002,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",1.NBT.C.6,6,,1,Standard
5ec0aba5-d7cc-11e8-824f-0242ac160002,Measurement & Data,,3,,1,Domain
5ebe76fc-d7cc-11e8-824f-0242ac160002,Measure lengths indirectly and by iterating length units.,1.MD.A,1,,1,Cluster
5ebeded8-d7cc-11e8-824f-0242ac160002,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,1.MD.A.1,1,,1,Standard
5ebff645-d7cc-11e8-824f-0242ac160002,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",1.MD.A.2,2,Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps.,1,Standard
5ebfb801-d7cc-11e8-824f-0242ac160002,Tell and write time.,1.MD.B,2,,1,Cluster
5ec0e028-d7cc-11e8-824f-0242ac160002,Tell and write time in hours and half-hours using analog and digital clocks.,1.MD.B.3,3,,1,Standard
5ec0bf65-d7cc-11e8-824f-0242ac160002,Represent and interpret data.,1.MD.C,3,,1,Cluster
5ec18df0-d7cc-11e8-824f-0242ac160002,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",1.MD.C.4,4,,1,Standard
5ec175c3-d7cc-11e8-824f-0242ac160002,Geometry,,4,,1,Domain
5ebe74f9-d7cc-11e8-824f-0242ac160002,Reason with shapes and their attributes.,1.G.A,1,,1,Cluster
5ebedcf6-d7cc-11e8-824f-0242ac160002,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",1.G.A.1,1,,1,Standard
5ebff37d-d7cc-11e8-824f-0242ac160002,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",1.G.A.2,2,"Students do not need to learn formal names such as ""right rectangular prism.""",1,Standard
5ec0de0b-d7cc-11e8-824f-0242ac160002,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",1.G.A.3,3,,1,Standard
5ec0a93f-d7cc-11e8-824f-0242ac160002,Grade 2,,3,,2,Grade Level
5ebe66fc-d7cc-11e8-824f-0242ac160002,Operations & Algebraic Thinking,,1,,2,Domain
5ebe8718-d7cc-11e8-824f-0242ac160002,Represent and solve problems involving addition and subtraction.,2.OA.A,1,,2,Cluster
5ebeeab6-d7cc-11e8-824f-0242ac160002,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",2.OA.A.1,1,,2,Standard
5ebfc2a8-d7cc-11e8-824f-0242ac160002,Add and subtract within 20.,2.OA.B,2,,2,Cluster
5ec00bcb-d7cc-11e8-824f-0242ac160002,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.",2.OA.B.2,2,See standard 1.OA.6 for a list of mental strategies.,2,Standard
5ec0c6c7-d7cc-11e8-824f-0242ac160002,Work with equal groups of objects to gain foundations for multiplication.,2.OA.C,3,,2,Cluster
5ec0ed06-d7cc-11e8-824f-0242ac160002,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",2.OA.C.3,3,,2,Standard
5ec19b26-d7cc-11e8-824f-0242ac160002,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,2.OA.C.4,4,,2,Standard
5ebfa5b2-d7cc-11e8-824f-0242ac160002,Number & Operations in Base Ten,,2,,2,Domain
5ebe8311-d7cc-11e8-824f-0242ac160002,Understand place value.,2.NBT.A,1,,2,Cluster
5ebee82d-d7cc-11e8-824f-0242ac160002,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",2.NBT.A.1,1,,2,Standard
5ec3d3ba-d7cc-11e8-824f-0242ac160002,"100 can be thought of as a bundle of ten tens — called a ""hundred.""",2.NBT.A.1.a,a.,,2,Component
5ec43648-d7cc-11e8-824f-0242ac160002,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.A.1.b,b.,,2,Component
5ec008d5-d7cc-11e8-824f-0242ac160002,"Count within 1000; skip-count by 2s, 5s, 10s, and 100s.",2.NBT.A.2,2,,2,Standard
5ec0eaa6-d7cc-11e8-824f-0242ac160002,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",2.NBT.A.3,3,,2,Standard
5ec19823-d7cc-11e8-824f-0242ac160002,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",2.NBT.A.4,4,,2,Standard
5ebe8515-d7cc-11e8-824f-0242ac160002,Use place value understanding and properties of operations to add and subtract.,2.NBT.B,1,,2,Cluster
5ec227bf-d7cc-11e8-824f-0242ac160002,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",2.NBT.B.5,5,,2,Standard
5ec2afc8-d7cc-11e8-824f-0242ac160002,Add up to four two-digit numbers using strategies based on place value and properties of operations.,2.NBT.B.6,6,,2,Standard
5ec316aa-d7cc-11e8-824f-0242ac160002,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",2.NBT.B.7,7,,2,Standard
7383c9a0-d7cc-11e8-824f-0242ac160002,Use estimation strategies to make reasonable estimates in problem solving.,2.NBT.7.1,7.1,,2,Standard
5ec375bc-d7cc-11e8-824f-0242ac160002,"Mentally add 10 or 100 to a given number 100—900, and mentally subtract 10 or 100 from a given number 100—900.",2.NBT.B.8,8,,2,Standard
5ec3af02-d7cc-11e8-824f-0242ac160002,"Explain why addition and subtraction strategies work, using place value and the properties of operations.",2.NBT.B.9,9,Explanations may be supported by drawings or objects.,2,Standard
5ec0ae15-d7cc-11e8-824f-0242ac160002,Measurement & Data,,3,,2,Domain
5ebe810a-d7cc-11e8-824f-0242ac160002,Measure and estimate lengths in standard units.,2.MD.A,1,,2,Cluster
5ebee64b-d7cc-11e8-824f-0242ac160002,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",2.MD.A.1,1,,2,Standard
5ec005ce-d7cc-11e8-824f-0242ac160002,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",2.MD.A.2,2,,2,Standard
5ec0e88f-d7cc-11e8-824f-0242ac160002,"Estimate lengths using units of inches, feet, centimeters, and meters.",2.MD.A.3,3,,2,Standard
5ec195ab-d7cc-11e8-824f-0242ac160002,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",2.MD.A.4,4,,2,Standard
5ebfbfcd-d7cc-11e8-824f-0242ac160002,Relate addition and subtraction to length.,2.MD.B,2,,2,Cluster
5ec2253f-d7cc-11e8-824f-0242ac160002,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",2.MD.B.5,5,,2,Standard
5ec2acff-d7cc-11e8-824f-0242ac160002,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, …, and represent whole-number sums and differences within 100 on a number line diagram.",2.MD.B.6,6,,2,Standard
5ec0c451-d7cc-11e8-824f-0242ac160002,Work with time and money.,2.MD.C,3,,2,Cluster
5ec3137f-d7cc-11e8-824f-0242ac160002,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m. Know relationships of time (e.g., minutes in an hour, days in a month, weeks in a year).",2.MD.C.7,7,,2,Standard
5ec3729e-d7cc-11e8-824f-0242ac160002,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately.",2.MD.C.8,8,"Example: If you have 2 dimes and 3 pennies, how many cents do you have?",2,Standard
5ec18b8b-d7cc-11e8-824f-0242ac160002,Represent and interpret data.,2.MD.D,4,,2,Cluster
5ec3ac34-d7cc-11e8-824f-0242ac160002,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",2.MD.D.9,9,,2,Standard
5ebf7262-d7cc-11e8-824f-0242ac160002,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph.",2.MD.D.10,10,,2,Standard
5ec17828-d7cc-11e8-824f-0242ac160002,Geometry,,4,,2,Domain
5ebe7f05-d7cc-11e8-824f-0242ac160002,Reason with shapes and their attributes.,2.G.A,1,,2,Cluster
5ebee46b-d7cc-11e8-824f-0242ac160002,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",2.G.A.1,1,"Sizes are compared directly or visually, not compared by measuring.",2,Standard
5ebffff5-d7cc-11e8-824f-0242ac160002,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,2.G.A.2,2,,2,Standard
5ec0e669-d7cc-11e8-824f-0242ac160002,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",2.G.A.3,3,,2,Standard
5ec17359-d7cc-11e8-824f-0242ac160002,Grade 3,,4,,3,Grade Level
5ebe68fb-d7cc-11e8-824f-0242ac160002,Operations & Algebraic Thinking,,1,,3,Domain
5ebe9447-d7cc-11e8-824f-0242ac160002,Represent and solve problems involving multiplication and division.,3.OA.A,1,,3,Cluster
5ebef44d-d7cc-11e8-824f-0242ac160002,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. <em>For example, describe a context in which a total number of objects can be expressed as 5 × 7.</em>",3.OA.A.1,1,,3,Standard
